type,name,bloat,waste
index,public.launch_weather::launch_weather_launch_id_idx,0.4,0 bytes
index,public.launch_weather::launch_weather_launch_id_source_uidx,0.4,0 bytes
index,public.launch_weather::launch_weather_pkey,0.4,0 bytes
index,public.launch_weather::launch_weather_valid_start_idx,0.4,0 bytes
index,public.social_posts::social_posts_launch_root_uidx,0.4,0 bytes
index,public.blue_origin_passengers::blue_origin_passengers_pkey,0.4,0 bytes
index,public.snapi_item_launches::snapi_item_launches_launch_id_idx,0.4,0 bytes
index,public.artemis_sam_contract_award_rows::artemis_sam_contract_award_rows_pkey,0.4,0 bytes
index,public.artemis_sam_contract_award_rows::artemis_sam_contract_award_rows_piid_idx,0.4,0 bytes
index,public.artemis_sam_contract_award_rows::artemis_sam_contract_award_rows_contract_idx,0.4,0 bytes
index,public.artemis_sam_contract_award_rows::artemis_sam_contract_award_rows_scope_idx,0.4,0 bytes
index,public.artemis_sam_contract_award_rows::artemis_sam_contract_award_rows_solicitation_idx,0.4,0 bytes
index,public.artemis_contract_budget_map::artemis_contract_budget_map_budget_line_idx,0.4,0 bytes
index,public.trajectory_product_lineage::trajectory_product_lineage_launch_id_product_version_genera_key,0.3,0 bytes
index,public.launch_social_candidates::launch_social_candidates_dedupe_key_uidx,0.3,0 bytes
index,public.trajectory_source_documents::trajectory_source_documents_url_sha256_key,0.3,0 bytes
index,public.providers_public_cache::providers_public_cache_pkey,0.3,0 bytes
index,public.artemis_timeline_events::artemis_timeline_events_announced_time_idx,0.3,0 bytes
index,public.providers_public_cache::providers_public_cache_name_idx,0.3,0 bytes
index,public.artemis_timeline_events::artemis_timeline_events_pkey,0.3,0 bytes
index,public.celestrak_intdes_datasets::celestrak_intdes_datasets_success_idx,0.3,0 bytes
index,public.artemis_timeline_events::artemis_timeline_events_mission_time_idx,0.3,0 bytes
index,public.artemis_content_items::artemis_content_items_fingerprint_key,0.3,0 bytes
index,public.ll2_rocket_configs::ll2_rocket_configs_pkey,0.3,0 bytes
index,public.celestrak_intdes_datasets::celestrak_intdes_datasets_due_idx,0.3,0 bytes
index,public.social_posts::social_posts_pkey,0.3,0 bytes
index,public.social_posts::social_posts_update_uidx,0.3,0 bytes
index,public.blue_origin_passengers::blue_origin_passengers_traveler_slug_idx,0.3,0 bytes
index,public.artemis_timeline_events::artemis_timeline_events_supersedes_idx,0.3,0 bytes
index,public.ll2_pads::ll2_pads_pkey,0.3,0 bytes
index,public.artemis_contract_budget_map::artemis_contract_budget_map_pkey,0.3,0 bytes
index,public.blue_origin_passengers::blue_origin_passengers_mission_date_idx,0.3,0 bytes
index,public.artemis_timeline_events::artemis_timeline_events_source_type_idx,0.3,0 bytes
index,public.artemis_timeline_events::artemis_timeline_events_source_document_id_idx,0.3,0 bytes
index,public.blue_origin_timeline_events::blue_origin_timeline_events_event_key_key,0.2,0 bytes
index,public.blue_origin_contracts::blue_origin_contracts_contract_key_key,0.2,0 bytes
index,public.blue_origin_contracts::blue_origin_contracts_mission_idx,0.2,0 bytes
index,public.blue_origin_contracts::blue_origin_contracts_pkey,0.2,0 bytes
index,public.blue_origin_contracts::blue_origin_contracts_source_document_id_idx,0.2,0 bytes
index,public.blue_origin_passengers::blue_origin_passengers_source_document_id_idx,0.2,0 bytes
index,public.blue_origin_traveler_sources::blue_origin_traveler_sources_source_key_key,0.2,0 bytes
index,public.blue_origin_travelers::blue_origin_travelers_pkey,0.2,0 bytes
index,public.blue_origin_travelers::blue_origin_travelers_traveler_slug_key,0.2,0 bytes
index,public.faa_notam_details::faa_notam_details_notam_hash_uniq,0.2,0 bytes
index,public.faa_tfr_records::faa_tfr_records_source_key_uniq,0.2,0 bytes
index,public.faa_tfr_records::faa_tfr_records_valid_window_gist,0.2,0 bytes
index,public.ingestion_runs::ingestion_runs_job_started_idx,0.2,0 bytes
index,public.launch_trajectory_constraints::launch_trajectory_constraints_launch_id_source_constraint_t_key,0.2,0 bytes
index,public.ll2_locations::ll2_locations_pkey,0.2,0 bytes
index,public.ll2_spacecraft_configurations::ll2_spacecraft_config_agency_idx,0.2,0 bytes
index,public.ll2_spacecraft_configurations::ll2_spacecraft_config_name_idx,0.2,0 bytes
index,public.ll2_spacecraft_configurations::ll2_spacecraft_configurations_pkey,0.2,0 bytes
index,public.ll2_spacecraft_flights::ll2_spacecraft_flights_launch_id_idx,0.2,0 bytes
index,public.ll2_spacecraft_flights::ll2_spacecraft_flights_launch_idx,0.2,0 bytes
index,public.blue_origin_timeline_events::blue_origin_timeline_events_mission_time_idx,0.1,0 bytes
index,public.ll2_pads::ll2_pads_ll2_location_id_idx,0.1,0 bytes
index,public.ll2_spacecraft_flight_docking_events::ll2_spacecraft_flight_docking_events_docking_idx,0.1,0 bytes
index,public.ll2_spacecraft_flight_docking_events::ll2_spacecraft_flight_docking_events_pkey,0.1,0 bytes
index,public.artemis_budget_lines::artemis_budget_lines_pkey,0.1,0 bytes
index,public.artemis_budget_lines::artemis_budget_lines_fiscal_year_idx,0.1,0 bytes
index,public.ll2_spacecraft_flights::ll2_spacecraft_flights_ll2_landing_id_idx,0.1,0 bytes
index,public.ll2_spacecraft_flights::ll2_spacecraft_flights_pkey,0.1,0 bytes
index,public.ll2_spacecraft_flights::ll2_spacecraft_flights_spacecraft_idx,0.1,0 bytes
index,public.ll2_catalog_public_cache::ll2_catalog_public_cache_pkey,0.1,0 bytes
index,public.ll2_catalog_public_cache::ll2_catalog_public_cache_name_idx,0.1,0 bytes
index,public.ll2_spacecrafts::ll2_spacecrafts_name_idx,0.1,0 bytes
index,public.ll2_spacecrafts::ll2_spacecrafts_pkey,0.1,0 bytes
index,public.navcen_bnm_hazard_areas::navcen_bnm_hazard_areas_message_id_area_name_key,0.1,0 bytes
index,public.navcen_bnm_hazard_areas::navcen_bnm_hazard_areas_valid_window_gist,0.1,0 bytes
index,public.navcen_bnm_messages::navcen_bnm_messages_navcen_guid_sha256_key,0.1,0 bytes
index,public.ll2_astronauts::ll2_astronauts_pkey,0.1,0 bytes
index,public.ll2_astronauts::ll2_astronauts_name_idx,0.1,0 bytes
index,public.ll2_agencies::ll2_agencies_pkey,0.1,0 bytes
index,public.launches_public_cache::launches_public_cache_vehicle_trgm_idx,0.1,0 bytes
index,public.launches_public_cache::launches_public_cache_rocket_full_name_trgm_idx,0.1,0 bytes
index,public.orbit_elements::orbit_elements_norad_cat_id_source_epoch_key,0.1,0 bytes
index,public.orbit_elements::orbit_elements_norad_epoch_idx,0.1,0 bytes
index,public.orbit_elements::orbit_elements_source_epoch_idx,0.1,0 bytes
index,public.launches_public_cache::launches_public_cache_pad_country_net_provider_idx,0.1,0 bytes
index,public.satellites::satellites_intl_des_pattern_idx,0.1,0 bytes
index,public.satellites::satellites_pkey,0.1,0 bytes
index,public.snapi_items::snapi_items_pkey,0.1,0 bytes
