Initialising login role...
Connecting to remote database...

  
   Name                                                                   | Size       | Percent used | Index scans | Seq scans | Unused 
   public.stripe_customers_last_subscription_sync_at_idx                  | 16 kB      | 0%           | 0           | 0         | true   
   public.nws_points_pkey                                                 | 16 kB      | 0%           | 0           | 0         | true   
   public.webhook_events_source_event_id_key                              | 16 kB      | 0%           | 0           | 0         | true   
   public.watchlist_rules_watchlist_idx                                   | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_timeline_events_pkey                                    | 16 kB      | 0%           | 0           | 0         | true   
   public.celestrak_datasets_due_idx                                      | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_sam_contract_award_rows_solicitation_idx                | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_mission_components_source_document_id_idx               | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_docking_events_station_idx                                  | 16 kB      | 0%           | 0           | 0         | true   
   public.launches_public_cache_rocket_family_trgm_idx                    | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_config_name_idx                                  | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_sam_contract_award_rows_piid_idx                        | 16 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_traveler_sources_source_document_id_idx             | 16 kB      | 0%           | 0           | 0         | true   
   public.watchlists_user_idx                                             | 16 kB      | 0%           | 0           | 0         | true   
   public.notification_usage_monthly_pkey                                 | 16 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_engines_source_document_id_idx                      | 16 kB      | 0%           | 0           | 0         | true   
   public.social_posts_launch_root_uidx                                   | 16 kB      | 100%         | 5           | 0         | false  
   public.artemis_sam_contract_award_rows_source_document_idx             | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_source_registry_pkey                                    | 16 kB      | 0%           | 0           | 0         | true   
   public.ws45_launch_forecasts_issued_at_idx                             | 16 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_contract_vehicle_map_pkey                           | 16 kB      | 0%           | 0           | 0         | true   
   public.faa_tfr_shapes_pkey                                             | 16 kB      | 100%         | 9           | 0         | false  
   public.nws_points_grid_idx                                             | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_people_pkey                                             | 16 kB      | 0%           | 0           | 0         | true   
   public.watchlist_rules_unique_idx                                      | 16 kB      | 0%           | 0           | 0         | true   
   public.launch_trajectory_products_generated_idx                        | 16 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_vehicle_engine_engine_idx                           | 16 kB      | 0%           | 0           | 0         | true   
   public.launch_weather_pkey                                             | 16 kB      | 0%           | 0           | 0         | true   
   public.ar_camera_guide_sessions_pkey                                   | 16 kB      | 0%           | 0           | 0         | true   
   public.subscriptions_pkey                                              | 16 kB      | 100%         | 2           | 0         | false  
   public.notification_preferences_pkey                                   | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_configs_pkey                                     | 16 kB      | 100%         | 79          | 0         | false  
   public.ll2_expeditions_pkey                                            | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_docking_events_launch_idx                                   | 16 kB      | 0%           | 0           | 0         | true   
   public.faa_notam_details_pkey                                          | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payload_types_pkey                                          | 16 kB      | 0%           | 0           | 0         | true   
   public.launch_trajectory_products_pkey                                 | 16 kB      | 100%         | 6           | 0         | false  
