
  
   Name                                                                   | Size       | Percent used | Index scans | Seq scans | Unused 
   public.ops_alerts_resolved_idx                                         | 16 kB      | 100%         | 15          | 0         | false  
   public.celestrak_datasets_pkey                                         | 16 kB      | 100%         | 26675       | 0         | false  
   public.artemis_timeline_events_source_type_idx                         | 16 kB      | 0%           | 0           | 0         | true   
   public.social_posts_reply_parent_idx                                   | 16 kB      | 0%           | 0           | 0         | true   
   public.watchlists_pkey                                                 | 16 kB      | 100%         | 14          | 0         | false  
   public.launch_notification_prefs_launch_idx                            | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payloads_manufacturer_idx                                   | 16 kB      | 0%           | 0           | 0         | true   
   public.social_posts_update_uidx                                        | 16 kB      | 0%           | 0           | 0         | true   
   public.ar_camera_guide_sessions_created_at_idx                         | 16 kB      | 100%         | 30          | 0         | false  
   public.artemis_budget_lines_source_document_id_idx                     | 16 kB      | 0%           | 0           | 0         | true   
   public.launch_trajectory_products_quality_idx                          | 16 kB      | 0%           | 0           | 0         | true   
   public.launch_social_matches_pkey                                      | 16 kB      | 0%           | 0           | 0         | true   
   public.profiles_marketing_unsubscribe_token_key                        | 16 kB      | 0%           | 0           | 0         | true   
   public.profiles_embed_token_key                                        | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_pads_ll2_location_id_idx                                    | 16 kB      | 0%           | 0           | 0         | true   
   public.faa_launch_matches_launch_idx                                   | 16 kB      | 100%         | 20129       | 0         | false  
   public.subscriptions_status_idx                                        | 16 kB      | 100%         | 12376       | 0         | false  
   public.celestrak_datasets_success_idx                                  | 16 kB      | 100%         | 2           | 0         | false  
   public.profiles_calendar_token_key                                     | 16 kB      | 0%           | 0           | 0         | true   
   public.social_accounts_pkey                                            | 16 kB      | 100%         | 42          | 0         | false  
   public.artemis_source_documents_url_sha256_key                         | 16 kB      | 0%           | 0           | 0         | true   
   public.webhook_events_pkey                                             | 16 kB      | 0%           | 0           | 0         | true   
   public.ws45_launch_forecasts_pkey                                      | 16 kB      | 100%         | 16          | 0         | false  
   public.launch_notification_preferences_pkey                            | 16 kB      | 100%         | 20177       | 0         | false  
   public.launch_trajectory_products_pkey                                 | 16 kB      | 100%         | 18541       | 0         | false  
   public.ll2_expeditions_pkey                                            | 16 kB      | 100%         | 6420        | 0         | false  
   public.subscriptions_pkey                                              | 16 kB      | 100%         | 2864976     | 0         | false  
   public.watchlist_rules_unique_idx                                      | 16 kB      | 100%         | 218         | 0         | false  
   public.ws45_launch_forecasts_issued_at_idx                             | 16 kB      | 0%           | 0           | 0         | true   
   public.social_posts_launch_root_uidx                                   | 16 kB      | 100%         | 1652        | 0         | false  
   public.watchlists_user_idx                                             | 16 kB      | 100%         | 403         | 0         | false  
   public.launches_public_cache_rocket_family_trgm_idx                    | 16 kB      | 100%         | 24          | 0         | false  
   public.artemis_timeline_events_fingerprint_key                         | 16 kB      | 100%         | 4484        | 0         | false  
   public.ll2_docking_events_station_idx                                  | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_astronaut_launches_launch_idx                               | 16 kB      | 0%           | 0           | 0         | true   
   public.privacy_preferences_pkey                                        | 16 kB      | 100%         | 484         | 0         | false  
   public.faa_tfr_shapes_record_idx                                       | 16 kB      | 100%         | 125         | 0         | false  
   public.ll2_payloads_operator_idx                                       | 16 kB      | 0%           | 0           | 0         | true   
   public.faa_notam_details_notam_id_idx                                  | 16 kB      | 100%         | 1           | 0         | false  
   public.notifications_outbox_user_id_idx                                | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payloads_type_idx                                           | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_configs_type_idx                                 | 16 kB      | 100%         | 153420      | 0         | false  
   public.launch_social_candidates_launch_platform_fetched_idx            | 16 kB      | 100%         | 7003        | 0         | false  
   public.notifications_outbox_pkey                                       | 16 kB      | 100%         | 10          | 0         | false  
   public.embed_widgets_user_idx                                          | 16 kB      | 100%         | 3           | 0         | false  
   public.providers_public_cache_name_idx                                 | 16 kB      | 100%         | 220         | 0         | false  
   public.ll2_spacecraft_config_agency_idx                                | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_types_pkey                                       | 16 kB      | 100%         | 157799      | 0         | false  
   public.social_posts_mission_drop_uidx                                  | 16 kB      | 100%         | 2468        | 0         | false  
   public.launch_social_matches_active_one_uidx                           | 16 kB      | 100%         | 41          | 0         | false  
   public.job_locks_pkey                                                  | 16 kB      | 100%         | 28995       | 0         | false  
   public.stripe_customers_last_subscription_sync_at_idx                  | 16 kB      | 0%           | 0           | 0         | true   
   public.nws_points_pkey                                                 | 16 kB      | 100%         | 88          | 0         | false  
   public.webhook_events_source_event_id_key                              | 16 kB      | 0%           | 0           | 0         | true   
   public.watchlist_rules_watchlist_idx                                   | 16 kB      | 0%           | 0           | 0         | true   
   public.celestrak_datasets_due_idx                                      | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_source_documents_source_key_idx                         | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_config_name_idx                                  | 16 kB      | 0%           | 0           | 0         | true   
   public.notification_usage_monthly_pkey                                 | 16 kB      | 100%         | 20177       | 0         | false  
   public.faa_tfr_shapes_pkey                                             | 16 kB      | 100%         | 971         | 0         | false  
   public.nws_points_grid_idx                                             | 16 kB      | 0%           | 0           | 0         | true   
   public.launch_trajectory_products_generated_idx                        | 16 kB      | 100%         | 2           | 0         | false  
