
  
   Name                                        | Table size | Index size | Total size | Estimated row count | Seq scans 
   public.ll2_spacecraft_configurations        | 408 kB     | 48 kB      | 456 kB     | 46                  | 24        
   public.faa_tfr_shapes                       | 344 kB     | 64 kB      | 408 kB     | 107                 | 102       
   public.ll2_payload_flights                  | 320 kB     | 80 kB      | 400 kB     | 50                  | 30        
   public.ll2_payloads                         | 296 kB     | 80 kB      | 376 kB     | 43                  | 13        
   public.faa_tfr_records                      | 240 kB     | 136 kB     | 376 kB     | 232                 | 466       
   public.ll2_spacecraft_configs               | 320 kB     | 48 kB      | 368 kB     | 45                  | 276       
   public.ll2_space_stations                   | 328 kB     | 32 kB      | 360 kB     | 15                  | 24        
   public.snapi_item_events                    | 192 kB     | 144 kB     | 336 kB     | 1799                | 2706      
   public.api_rate_counters                    | 168 kB     | 128 kB     | 296 kB     | 2101                | 24        
   public.social_posts                         | 144 kB     | 144 kB     | 288 kB     | 159                 | 4637      
   public.launch_social_candidates             | 192 kB     | 88 kB      | 280 kB     | 163                 | 2345      
   public.ws45_launch_forecasts                | 152 kB     | 128 kB     | 280 kB     | 4                   | 4706      
   public.artemis_timeline_events              | 160 kB     | 112 kB     | 272 kB     | 48                  | 242       
   public.artemis_mission_snapshots            | 240 kB     | 16 kB      | 256 kB     | 8                   | 6         
   public.ll2_launcher_launches                | 88 kB      | 160 kB     | 248 kB     | 0                   | 24        
   public.launch_weather                       | 96 kB      | 80 kB      | 176 kB     | 29                  | 26        
   public.ll2_payload_flight_docking_events    | 128 kB     | 32 kB      | 160 kB     | 6                   | 11        
   public.ops_alerts                           | 104 kB     | 48 kB      | 152 kB     | 73                  | 185069    
   public.celestrak_datasets                   | 80 kB      | 64 kB      | 144 kB     | 105                 | 7722      
   public.nws_points                           | 64 kB      | 80 kB      | 144 kB     | 7                   | 814       
   public.system_settings                      | 72 kB      | 56 kB      | 128 kB     | 233                 | 32704     
   public.providers_public_cache               | 88 kB      | 32 kB      | 120 kB     | 106                 | 244       
   public.ar_camera_guide_sessions             | 56 kB      | 64 kB      | 120 kB     | 81                  | 40        
   public.ll2_astronaut_launches               | 56 kB      | 64 kB      | 120 kB     | 0                   | 24        
   public.artemis_budget_lines                 | 56 kB      | 64 kB      | 120 kB     | 96                  | 34        
   public.stripe_customers                     | 48 kB      | 48 kB      | 96 kB      | 2                   | 596       
   public.subscriptions                        | 48 kB      | 48 kB      | 96 kB      | 2                   | 588705    
   public.notifications_outbox                 | 16 kB      | 64 kB      | 80 kB      | 2                   | 138144    
   public.ll2_spacecraft_types                 | 48 kB      | 32 kB      | 80 kB      | 6                   | 32        
   public.embed_widgets                        | 16 kB      | 64 kB      | 80 kB      | 0                   | 11        
   public.launch_social_matches                | 16 kB      | 64 kB      | 80 kB      | 7                   | 9         
   public.profiles                             | 16 kB      | 64 kB      | 80 kB      | 2                   | 5576688   
   public.watchlist_rules                      | 16 kB      | 48 kB      | 64 kB      | 2                   | 9         
   public.launch_notification_preferences      | 16 kB      | 48 kB      | 64 kB      | 0                   | 28        
   public.job_locks                            | 48 kB      | 16 kB      | 64 kB      | 3                   | 28849     
   public.social_accounts                      | 16 kB      | 48 kB      | 64 kB      | 7                   | 9858      
   public.ll2_payload_types                    | 16 kB      | 32 kB      | 48 kB      | 12                  | 6         
   public.feedback_submissions                 | 8192 bytes | 40 kB      | 48 kB      | 0                   | 28        
   public.watchlists                           | 16 kB      | 32 kB      | 48 kB      | 1                   | 8         
   public.webhook_events                       | 16 kB      | 32 kB      | 48 kB      | 15                  | 216       
   public.ll2_event_launches                   | 8192 bytes | 32 kB      | 40 kB      | 0                   | 127952    
   public.artemis_procurement_awards           | 8192 bytes | 32 kB      | 40 kB      | 0                   | 35        
   public.sms_consent_events                   | 8192 bytes | 32 kB      | 40 kB      | 0                   | 24        
   public.calendar_feeds                       | 8192 bytes | 24 kB      | 32 kB      | 0                   | 11        
   public.artemis_ingest_checkpoints           | 16 kB      | 16 kB      | 32 kB      | 12                  | 812       
   public.notification_preferences             | 16 kB      | 16 kB      | 32 kB      | 0                   | 26        
   public.notification_usage_monthly           | 16 kB      | 16 kB      | 32 kB      | 1                   | 24        
   public.rss_feeds                            | 8192 bytes | 24 kB      | 32 kB      | 0                   | 9         
   public.artemis_entities                     | 8192 bytes | 24 kB      | 32 kB      | 0                   | 3         
   public.billing_events                       | 8192 bytes | 24 kB      | 32 kB      | 0                   | 21        
   public.launch_filter_presets                | 8192 bytes | 24 kB      | 32 kB      | 0                   | 9         
   public.push_subscriptions                   | 8192 bytes | 16 kB      | 24 kB      | 0                   | 24        
   public.tipjar_customers                     | 8192 bytes | 16 kB      | 24 kB      | 0                   | 2         
   public.privacy_preferences                  | 8192 bytes | 16 kB      | 24 kB      | 1                   | 24        
   public.launch_expected_satellite_payloads   | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 1         

